OACI,CIAD,Nome,Municipio,UF,Tipo
SILC,MT0025,AEROPORTO MUNICIPAL BOM FUTURO ,LUCAS DO RIO VERDE,MT,Publico
SIMK,SP0011,TENENTE LUND PRESSOTO,FRANCA,SP,Publico
SIZX,MT0018,JUARA SUL,JUARA,MT,Publico
SIBY,PB0009,LOURIVAL NUNES DE FARIAS,MONTEIRO,PB,Publico
SJAU,TO0007,ARAGUACEMA,ARAGUACEMA,TO,Publico
SJBY,MA0007,JOÃO SILVA,SANTA INÊS,MA,Publico
SBJA,SC0005,REGIONAL SUL,JAGUARUNA,SC,Publico
SJOG,RO0008,ARIQUEMES,ARIQUEMES,RO,Publico
SJQN,GO0006,QUIRINÓPOLIS,QUIRINÓPOLIS,GO,Publico
SJRG,RS0013,REGIONAL DE RIO GRANDE,RIO GRANDE,RS,Publico
SJGU,TO0005,ARAGUATINS,ARAGUATINS,TO,Publico
SJTS,PA0028,TERRA SANTA,TERRA SANTA,PA,Publico
SJZA,PB0004,PEDRO VIEIRA MOREIRA,CAJAZEIRAS,PB,Publico
SNAB,PE0009,ARARIPINA,ARARIPINA,PE,Publico
SJVO,GO0030,ARAGARÇAS,ARAGARÇAS,GO,Publico
SNAE,PE0007,ARCOVERDE,ARCOVERDE,PE,Publico
SNAL,AL0003,ARAPIRACA,ARAPIRACA,AL,Publico
SNAP,MG0021,JANAÚBA,JANAÚBA,MG,Publico
SNAG,MG0020,ARAGUARI,ARAGUARI,MG,Publico
SNAS,MG0022,TRÊS MARIAS,TRÊS MARIAS,MG,Publico
SBAC,CE0004,AEROPORTO REGIONAL DE CANOA QUEBRADA DRAGÃO DO MAR,ARACATI,CE,Publico
SNAX,SP0016,MARCELO PIRES HALZHAUSEN,ASSIS,SP,Publico
SNBA,SP0013,CHAFEI AMSEI,BARRETOS,SP,Publico
SNBC,MA0006,BARRA DO CORDA,BARRA DO CORDA,MA,Publico
SNAR,MG0033,CIRILO QUEIRÓZ,ALMENARA,MG,Publico
SNBI,MA0005,BACABAL,BACABAL,MA,Publico
SNBM,MG0051,CRISTIANO FERREIRA VARELLA,MURIAÉ,MG,Publico
SNBR,BA0011,DOM RICARDO WEBERBERGER,BARREIRAS,BA,Publico
SNBS,MA0010,BALSAS,BALSAS,MA,Publico
SNBX,BA0028,BARRA,BARRA,BA,Publico
SNBZ,BA0042,PARAMIRIM,PARAMIRIM,BA,Publico
SNCA,MG0031,CAMPO BELO,CAMPO BELO,MG,Publico
SNCS,CE0009,CAMPOS SALES,CAMPOS SALES,CE,Publico
SNCT,MG0056,CARATINGA,UBAPORANGA,MG,Publico
SNCX,ES0004,COLATINA,COLATINA,ES,Publico
SNBG,ES0005,BAIXO GUANDU - AIMORÉS,BAIXO GUANDU,ES,Publico
SNDC,PA0030,REDENÇÃO,REDENÇÃO,PA,Publico
SNDT,MG0030,JUSCELINO KUBITSCHEK,DIAMANTINA,MG,Publico
SNDV,MG0015,BRIGADEIRO ANTÔNIO CABRAL,DIVINÓPOLIS,MG,Publico
SNEB,PA0018,NAGIB DEMACHKI,PARAGOMINAS,PA,Publico
SNCZ,MG0059,PONTE NOVA,PONTE NOVA,MG,Publico
SNEE,RS0004,VACARIA NOVO,VACARIA,RS,Publico
SNFE,MG0012,COMANDANTE PASCHOAL PATROCÍNIO FILHO,ALFENAS,MG,Publico
SNFO,MG0060,FORMIGA,FORMIGA,MG,Publico
SNFU,MG0063,FRUTAL,FRUTAL,MG,Publico
SNFX,PA0013,SÃO FÉLIX DO XINGU,SÃO FÉLIX DO XINGU,PA,Publico
SNGA,ES0007,GUARAPARI,GUARAPARI,ES,Publico
SNGB,PI0011,GILBUÉS,GILBUÉS,PI,Publico
SNGD,PI0005,GUADALUPE,GUADALUPE,PI,Publico
SNGG,PI0007,BOM JESUS DO GURGUÉIA,BOM JESUS,PI,Publico
SNGI,BA0009,AERÓDROMO DE GUANAMBI,GUANAMBI,BA,Publico
SNED,BA0023,SÓCRATES REZENDE,CANAVIEIRAS,BA,Publico
SNGX,MG0023,GUAXUPÉ,GUAXUPÉ,MG,Publico
SNHS,PE0005,SANTA MAGALHÃES,SERRA TALHADA,PE,Publico
SNIB,BA0045,ITABERABA,ITABERABA,BA,Publico
SNIC,BA0019,IRECÊ,IRECÊ,BA,Publico
SNIE,BA0020,CAETITÉ,CAETITÉ,BA,Publico
SNIG,CE0007,IGUATU,IGUATU,CE,Publico
SNIO,BA0010,CIPÓ,CIPÓ,BA,Publico
SNGN,PE0006,GARANHUNS,GARANHUNS,PE,Publico
SNIP,BA0057,ITAPETINGA,ITAPETINGA,BA,Publico
SNIU,BA0030,IPIAÚ,IPIAÚ,BA,Publico
SNJB,BA0062,JACOBINA,JACOBINA,BA,Publico
SDIY,BA0013,JOÃO DURVAL CARNEIRO,FEIRA DE SANTANA,BA,Publico
SNJK,BA0047,JEQUIÉ,JEQUIÉ,BA,Publico
SNJM,MG0050,REGIONAL DE SANTO AMARO DE MINAS,MANHUAÇU,MG,Publico
SNJP,MG0036,JOÃO PINHEIRO,JOÃO PINHEIRO,MG,Publico
SNJQ,MG0053,JEQUITINHONHA,JEQUITINHONHA,MG,Publico
SNJR,MG0034,PREFEITO OCTÁVIO DE ALMEIDA NEVES,SÃO JOÃO DEL REI,MG,Publico
SNIT,BA0046,IBOTIRAMA,IBOTIRAMA,BA,Publico
SNKF,MG0071,DAS BANDEIRINHAS,CONSELHEIRO LAFAIETE,MG,Publico
SNKI,ES0006,AERÓDROMO DE CACHOEIRO DE ITAPEMIRIM,CACHOEIRO DE ITAPEMIRIM,ES,Publico
SNKN,RN0004,CURRAIS NOVOS,CURRAIS NOVOS,RN,Publico
SNKR,PI0012,CORRENTE,CORRENTE,PI,Publico
SNKD,MG0070,CONCEIÇÃO DO MATO DENTRO,CONCEIÇÃO DO MATO DENTRO,MG,Publico
SNLN,ES0002,MUNICIPAL DE LINHARES,LINHARES,ES,Publico
SNLO,MG0037,SÃO LOURENÇO,SÃO LOURENÇO,MG,Publico
SNLT,PI0010,PAULISTANA,PAULISTANA,PI,Publico
SNMA,PA0019,MONTE ALEGRE,MONTE ALEGRE,PA,Publico
SNMH,GO0018,PIRENÓPOLIS,PIRENÓPOLIS,GO,Publico
