"Código OACI","CIAD","Id to Tipo de Uso","Nome","Município","UF","Longitude","Latitude","Altitude","Operação Diurna","Operação Noturna","Designação 1","Comprimento 1","Largura 1","Resistência 1","Superfície 1","Designação 2","Comprimento 2","Largura 2","Resistência 2","Superfície 2","Portaria de Registro","Link Portaria"
"SSOP","PA0128",1,"Pista Porquinho","ITAITUBA","PA","057°37'16""W","05°10'44""S","151 m","VFR","Sem Operação","","799 m","18 m","5000 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2018-2634.pdf","PA2018-2634"
"","PA0256",1,"Fazenda Itália","DOM ELISEU","PA","047°51'56""W","04°32'14""S","323 m","VFR","Sem Operação","","1000 m","18 m","4200 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3776.pdf","PA2020-3776"
"SIMJ","MG0103",1,"Capinópolis - Aviação Agrícola Buttarello LTDA","CAPINÓPOLIS","MG","049°32'51""W","18°39'34""S","586 m","VFR","Sem Operação","","1000 m","20 m","5000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.423.pdf","PA2023-11.423"
"","MS0564",1,"Fazenda Planalto","SIDROLÂNDIA","MS","055°02'36""W","21°28'47""S","395 m","VFR","Sem Operação","","1000 m","18 m","5000 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-6943.pdf","PA2022-6943"
"SILJ","AP0003",1,"Do Gaúcho","LARANJAL DO JARI","AP","052°30'13""W","00°49'55""S","35 m","","","","650 m","18 m","5700 Kg /   0,50 MPa","Piçarra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8112.pdf","PA2022-8112"
"","PR0222",1,"Aerosport Maringá","IGUARAÇU","PR","051°48'05""W","23°11'19""S","612 m","","","","685 m","18 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8295.pdf","PA2022-8295"
"SNHU","MA0036",1,"Fazenda Bola Sete ","ITINGA DO MARANHÃO","MA","047°28'16""W","04°34'09""S","213 m","VFR","Sem Operação","","1000 m","20 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-0746.pdf","PA2015-0746"
"SWFW","MT0343",1,"Fazenda Terra Way - VII","TABAPORÃ","MT","056°01'37""W","11°32'50""S","371 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2018-1707.pdf","PA2018-1707"
"SJMA","MS0176",1,"Fazenda Marli","CAMAPUÃ","MS","053°43'14""W","19°32'25""S","605 m","VFR","Sem Operação","","800 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2018-0443.pdf","PA2018-0443"
"","MT0807",1,"FAZENDA BOA VISTA","ARIPUANÃ","MT","059°11'07""W","10°01'27""S","144 m","VFR","Sem Operação","","700 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-6952.pdf","PA2022-6952"
"","MS0573",1,"FAZENDA BOM DESTINO","ARAL MOREIRA","MS","055°18'59""W","22°58'28""S"," m","","","","950 m","18 m","5600 Kg /  50,00 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-5501.pdf","PA2021-5501"
"","MT0691",1,"Fazenda Divisão","LUCAS DO RIO VERDE","MT","056°16'17""W","12°59'50""S","402 m","VFR","Sem Operação","","1100 m","20 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3772.pdf","PA2020-3772"
"SILG","MT0104",1,"Fazenda Panamá","SAPEZAL","MT","058°44'50""W","13°45'36""S","515 m","VFR","Sem Operação","","1100 m","25 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-0734.pdf","PA2015-0734"
"SJJR","MG0128",1,"Fazenda Recreio","ANDRELÂNDIA","MG","044°12'12,2""W","21°42'46,5""S","1157 m","VFR","Sem Operação","","650 m","20 m","4500 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3551.pdf","PA2020-3551"
"SNMS","AP0013",1,"Acácio Favacho","PRACUÚBA","AP","050°46'15,47""W","01°33'39,49""N","20 m","VFR","Sem Operação","","1200 m","18 m","12/F/B/Y/U","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-13.418.pdf","PA2023-13.418"
"SDV3","TO0098",1,"Fazenda Água Fria","SANDOLÂNDIA","TO","050°03'50""W","12°24'11""S","212 m","","","","1100 m","23 m","8/F/B/X/T","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-6584.pdf","PA2021-6584"
"SBQR","MG0463",1,"Fazenda Arena de Aço","BURITIZEIRO","MG","044°58'25""W","16°48'30""S","493 m","VFR","Sem Operação","","1199 m","20 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-2294.pdf","PA2020-2294"
"","MS0717",1,"Fazenda Laudejá","BONITO","MS","056°47'42""W","21°09'16""S","576 m","VFR","Sem Operação","","900 m","30 m","4500 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.523.pdf","PA2023-12.523"
"SNMF","MG0157",1,"Agropastoril Monte Alegre","MONTE BELO","MG","046°15'08""W","21°21'21""S","861 m","VFR","Sem Operação","","797 m","23 m","3500 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-2641.pdf","PA2020-2641"
"SIPP","MG0312",1,"Fazenda Musa do Norte","FRANCISCO SÁ","MG","043°31'12""W","16°07'24""S","533 m","VFR","Sem Operação","","700 m","18 m","5400 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-0503.pdf","PA2020-0503"
"SSLA","MT0608",1,"Fazenda Alves","SORRISO","MT","055°37'00""W","12°37'04""S","393 m","VFR","Sem Operação","","1200 m","18 m","12/F/C/Y/U","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-3120.pdf","PA2020-3120"
"","MT0569",1,"Fazenda Torre III","ALTO GARÇAS","MT","053°36'07""W","16°51'24""S","797 m","VFR","Sem Operação","","850 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4200.pdf","PA2021-4200"
"","RO0074",1,"FAZENDA BOA VISTA","CORUMBIARA","RO","061°21'17""W","12°49'39""S","227 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,52 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-7674.pdf","PA2022-7674"
"","PR0199",1,"Serrinha","PALMEIRA","PR","050°02'06""W","25°27'33""S","828 m","VFR","Sem Operação","","382 m","18 m","5000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4559.pdf","PA2021-4559"
"","MT0925",1,"FAZENDA TRÊS LAGOAS","JACIARA","MT","055°07'56""W","16°02'43""S","587 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-11.496.pdf","PA2023-11.496"
"SSGH","MS0273",1,"Fazenda Capão Verde","AQUIDAUANA","MS","056°04'24""W","20°04'26""S","126 m","VFR","Sem Operação","","1050 m","20 m","3000 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-10621.pdf","PA2023-10621"
"SWNN","MT0580",1,"Fazenda Jandaira","TAPURAH","MT","056°28'49""W","12°46'46""S","398 m","VFR","Sem Operação","","1000 m","18 m","8/F/B/Y/U","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-3709.pdf","PA2019-3709"
"","MT0812",1,"FAZENDA ECOTECA - MINERAÇÃO SÃO FRANCISCO","COLNIZA","MT","061°23'09""W","09°11'29""S","132 m","VFR","Sem Operação","","700 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-6974.pdf","PA2022-6974"
"SSEF","SP0244",1,"Fazenda Passaredo","CAJURU","SP","047°13'52""W","21°19'37""S","1412 m","VFR","Sem Operação","","600 m","20 m","5600 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-0365.pdf","PA2015-0365"
"SSBB","MG0177",1,"Fazenda Balada","JOÃO PINHEIRO","MG","045°57'00""W","17°22'34""S","550 m","VFR","VFR","","1100 m","25 m","9/F/B/X/T","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2018-1076.pdf","PA2018-1076"
"SSYY","MS0355",1,"Fazenda Fundãozinho","COSTA RICA","MS","053°09'17""W","18°57'09""S","586 m","VFR","Sem Operação","","1000 m","20 m","5000 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-10019.pdf","PA2022-10019"
"","MG0574",1,"FAZENDA CASA BRANCA","FREI INOCÊNCIO","MG","041°52'01""W","18°29'53""S"," m","VFR","Sem Operação",""," m"," m","","","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-9987.pdf","PA2022-9987"
"SSDH","BA0153",1,"Fazenda Chapadão Alegre","CORRENTINA","BA","045°18'04""W","13°25'56""S","771 m","VFR","Sem Operação","","1200 m","30 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2014-2839.pdf","PA2014-2839"
"SSGD","BA0247",1,"Fazenda Porta do Céu","JABORANDI","BA","045°50'20""W","14°06'56""S","891 m","VFR","Sem Operação","","1000 m","18 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2019-1184.pdf","PA2019-1184"
